"Location	EG",EG
"190..255	0",0
"337..2799	0",0
"2801..3733	0",0
"3734..5020	0",0
"5234..5530	0",0
"5683..6459	0",0
"6529..7959	0",0
"8238..9191	0",0
"9306..9893	0",0
"9928..10494	0",0
"10643..11356	0",0
"11382..11786	0",0
"12163..14079	0",0
"14168..15298	0",0
"15445..16557	0",0
"16751..16960	0",0
"16751..16903	0",0
"17489..18655	0",0
"18715..19620	0",0
"19811..20314	0",0
"20233..20508	0",0
"20815..21078	0",0
"21181..21399	0",0
"21407..22348	1",1
"22391..25207	0",0
"25207..25701	1",1
"25826..26275	0",0
"26277..27227	1",1
"27293..28207	0",0
"28374..29195	1",1
"29651..30799	0",0
"30817..34038	0",0
"34300..34695	0",0
"34781..35371	0",0
"35377..36162	0",0
"36271..37824	0",0
"37898..39115	0",0
"39244..40386	0",0
"40417..41931	0",0
"42403..43173	0",0
"43188..44129	0",0
"44180..45466	0",0
"45463..45750	0",0
"45807..47138	0",0
"47246..47776	0",0
"47769..49631	0",0
"49823..50302	1",1
"50380..51222	0",0
"51229..51606	0",0
"51609..52430	0",0
"52427..53416	0",0
"53416..54702	0",0
"54755..57109	1",1
"57364..58179	0",0
"59687..60346	0",0
"60358..63264	0",0
"63429..65780	0",0
"65855..66550	0",0
"66835..68337	0",0
"68348..70048	0",0
"70387..71265	0",0
"71351..72115	0",0
"72229..72927	0",0
"72911..74521	0",0
"74497..75480	0",0
"75644..77299	0",0
"77388..77519	0",0
"77621..78799	0",0
"78848..79453	0",0
"79464..80864	0",0
"80867..81958	0",0
"81958..83529	0",0
"83622..83708	0",0
"84368..85312	0",0
"85630..87354	0",0
"87357..87848	0",0
"88028..89032	0",0
"89634..90092	0",0
"90094..91035	0",0
"91032..91397	1",1
"91413..93179	1",1
"93166..94653	1",1
"94650..96008	1",1
"96002..97084	1",1
"97087..98403	1",1
"98403..99647	1",1
"99644..100711	1",1
"100765..102240	1",1
"102233..103153	0",0
"103155..103985	1",1
"103982..105244	1",1
"105305..106456	1",1
"106557..107474	1",1
"107705..108217	1",1
"108279..110984	1",1
"111044..111433	0",0
"111649..111846	0",0
"111856..112599	0",0
"112599..113219	0",0
"113444..114487	0",0
"114522..115724	0",0
"115714..117099	0",0
"117109..117549	0",0
"117752..118645	0",0
"118733..119284	0",0
"119281..120135	0",0
"120178..121551	0",0
"122092..122856	0",0
"123017..125680	0",0
"125695..127587	0",0
"127912..129336	0",0
"129407..131260	0",0
"131615..134212	0",0
"134388..134750	0",0
"134788..135582	0",0
"135598..136464	0",0
"136570..136917	0",0
"137083..138633	0",0
"138835..141225	0",0
"141431..141967	0",0
"142008..142670	1",1
"142779..143705	0",0
"143702..144472	0",0
"144577..145017	0",0
"145081..146310	0",0
"146314..146694	0",0
"146968..147870	0",0
"147944..148795	0",0
"148807..149601	0",0
"149715..150953	0",0
"151003..151599	0",0
"151626..152231	0",0
"152243..152812	0",0
"152829..155426	0",0
"155461..156201	0",0
"156299..156883	0",0
"157253..157732	1",1
"157729..159126	0",0
"159186..160112	0",0
"160149..160604	0",0
"160782..161486	0",0
"161501..162031	0",0
"162105..164534	0",0
"164730..167264	0",0
"167484..169727	0",0
"169778..170575	0",0
"170575..171465	0",0
"171462..173444	0",0
"173602..174882	1",1
"175107..176528	0",0
"176610..176954	1",1
"177001..177624	0",0
"177662..178462	0",0
"178455..179153	0",0
"179237..180754	0",0
"180884..182308	0",0
"182463..183620	0",0
"183709..184095	0",0
"184257..185069	0",0
"185123..185947	1",1
"185978..188650	0",0
"188712..189506	1",1
"189874..190599	1",1
"190857..191708	1",1
"191855..192580	1",1
"192872..193429	1",1
"193521..194717	1",1
"194903..195664	1",1
"195677..196534	1",1
"196546..197898	1",1
"197928..200360	1",1
"200482..200967	0",0
"200971..201996	1",1
"202101..202556	1",1
"202560..203348	1",1
"203348..204496	1",1
"204493..205089	0",0
"205126..208608	1",1
"208621..209580	1",1
"209679..211820	0",0
"211877..212266	0",0
"212331..213629	1",1
"213678..213932	0",0
"213925..214125	0",0
"214291..214836	0",0
"214833..215255	0",0
"215269..215979	0",0
"216179..217003	0",0
"217057..218775	1",1
"218887..219594	0",0
"219591..219995	0",0
"220113..220928	0",0
"220968..221621	0",0
"221614..222645	0",0
"222833..223408	0",0
"229167..229970	0",0
"229967..230881	0",0
"231122..231922	0",0
"231926..232549	0",0
"232597..233955	0",0
"234027..234782	0",0
"234816..235538	0",0
"235535..236002	0",0
"236067..236798	0",0
"237335..238120	0",0
"238257..238736	0",0
"239419..240189	0",0
"240343..240816	0",0
"240859..243303	0",0
"243543..244121	0",0
"244327..245094	0",0
"245065..245805	0",0
"245961..246239	0",0
"246242..246502	0",0
"246712..247461	0",0
"247637..248134	0",0
"250898..251953	0",0
"252005..252298	0",0
"252301..252699	0",0
"252709..253161	0",0
"254259..255716	0",0
"255977..256435	0",0
"256527..257771	0",0
"259045..260100	0",0
"260388..261491	0",0
"261503..262756	0",0
"263328..263669	0",0
"263690..264007	0",0
"264026..264247	0",0
"264256..264732	0",0
"264748..265206	0",0
"265304..265543	0",0
"265620..266087	0",0
"266110..266553	0",0
"267184..268005	0",0
"268097..268960	0",0
"269289..270182	0",0
"270603..271754	0",0
"274101..275117	0",0
"275325..276728	0",0
"276715..277647	0",0
"277756..278802	0",0
"279178..279681	0",0
"279600..279875	0",0
"280829..281983	0",0
"282278..283186	0",0
"283201..285168	0",0
"285395..286777	1",1
"286789..288399	0",0
"288404..289162	0",0
"289301..290305	0",0
"290649..291152	0",0
"291071..291346	0",0
"292322..292948	0",0
"293220..293918	0",0
"293945..294799	0",0
"295139..295579	0",0
"295696..297096	0",0
"297770..298726	0",0
"298736..300934	0",0
"300931..301887	0",0
"301884..302573	0",0
"302991..303605	0",0
"303853..304182	0",0
"304495..305205	0",0
"305174..306817	0",0
"306807..309332	0",0
"309358..310026	0",0
"310084..310671	0",0
"310746..311336	0",0
"312112..312339	0",0
"312374..312514	0",0
"312514..312777	0",0
"313141..313242	0",0
"315291..315590	0",0
"315587..316453	0",0
"317726..318319	0",0
"318331..318567	0",0
"318676..320001	0",0
"320227..321081	0",0
"321608..322327	0",0
"322338..323765	0",0
"323758..324453	0",0
"324696..325364	0",0
"325577..327247	0",0
"327261..328733	0",0
"328747..329334	0",0
"329463..331496	0",0
"332371..333459	0",0
"333501..334433	0",0
"334525..335022	0",0
"335280..335885	0",0
"335925..336788	0",0
"336778..338325	0",0
"338325..339743	0",0
"340165..341115	0",0
"341125..342507	0",0
"342884..343933	0",0
"344176..344991	0",0
"345404..345649	0",0
"345666..346337	0",0
"346484..346759	0",0
"346857..348443	0",0
"348682..349572	0",0
"350012..351181	0",0
"351215..352666	0",0
"352706..354592	0",0
"354922..356181	0",0
"356171..357454	0",0
"357791..358690	0",0
"358799..359458	0",0
"359489..359959	0",0
"359992..361146	0",0
"361249..361860	0",0
"361926..363179	0",0
"363231..366305	0",0
"366428..367510	0",0
"367587..368420	0",0
"368611..370275	0",0
"370277..371221	0",0
"371239..372105	0",0
"372115..372924	0",0
"372921..373871	0",0
"373868..374881	0",0
"375459..376670	0",0
"376772..377311	0",0
"377535..378368	0",0
"378462..379571	0",0
"379606..379881	0",0
"380069..380842	0",0
"381351..381716	0",0
"381674..382579	0",0
"382739..383935	0",0
"384059..384616	0",0
"385232..386194	0",0
"386207..386974	0",0
"386971..387798	0",0
"387795..388646	0",0
"388753..389727	1",1
"391739..392605	0",0
"392602..392901	0",0
"394506..395129	0",0
"395130..396287	0",0
"396639..397859	0",0
"397872..398966	0",0
"399025..399333	0",0
"399593..399805	0",0
"399829..400923	0",0
"401386..401646	0",0
"401747..403162	0",0
"403281..403601	0",0
"403703..404818	0",0
"404835..405644	0",0
"405764..406222	0",0
"406405..406929	0",0
"406979..407170	0",0
"407428..408105	0",0
"408177..408461	0",0
"409108..410019	0",0
"410144..411052	0",0
"411297..412481	0",0
"412607..415753	0",0
"415750..416952	0",0
"417142..417831	0",0
"417889..419184	0",0
"419591..420910	0",0
"420986..422359	0",0
"422518..424332	0",0
"424337..424918	0",0
"425011..426081	0",0
"426137..427264	0",0
"427287..427619	0",0
"427647..429494	1",1
"429505..430476	1",1
"430605..430952	0",0
"431129..432013	0",0
"432312..432851	0",0
"433002..433451	0",0
"433455..434558	1",1
"434647..435117	1",1
"435137..435556	0",0
"435634..436611	1",1
"436589..437107	0",0
"437161..438135	0",0
"438315..440177	1",1
"440202..441101	1",1
"441101..441343	0",0
"441549..442997	0",0
"443051..443641	0",0
"443604..444515	0",0
"444683..445174	0",0
"445302..446666	0",0
"446815..447705	0",0
"447717..448046	0",0
"448046..448660	0",0
"448650..450641	0",0
"450663..451610	0",0
"452070..453545	0",0
"453589..454167	0",0
"454472..454789	0",0
"455133..456431	0",0
"456677..457300	0",0
"457426..458700	0",0
"458888..461242	0",0
"461451..461723	0",0
"461915..463786	0",0
"463937..464308	0",0
"464402..464800	0",0
"464852..465547	0",0
"465612..467312	0",0
"467412..468230	0",0
"468383..468841	0",0
"468871..470643	0",0
"470636..472417	0",0
"472598..472936	0",0
